head,subV,linker,form
ser,ser,como,3
confundir,acechar,mientras,3
adecuar,hacer,tal_como,2
ser,ser,0,7
ser,morir,0,7
estudiar,conocer,como,2
estudiar,ser,tal_y_como,2
interaccionar,ocurrir,como,2
decir,referir,cuando,6
poner,ser,si,6
observar,fracasar,que,2
mejorar,moderar,siempre_que,6
mejorar,morir,0,6
avanzar,quedar,0,7
avanzar,aceptar,0,7
ser,ser,aunque,6
evolucionar,ser,aunque,6
practicar,vivir,ya_que,7
acoplar,estar,puesto_que,7
acoplar,estar,cuando,6
acoplar,mostrar,0,7
copular,ser,cuando,6
permanecer,comer,cuando,6
acarrear,ser,mientras,3
hacer,comer,pues,3
dotar,reducir,como_quiera_que,2
tener,entender,como,2
ser,alcanzar,ya_que,7
introducir,contener,como,2
ser,instalar,que,2
ser,montar,ya_que,7
servir,ser,si,6
servir,poseer,ya_que,7
practicar,bombardear,cuando,6
practicar,envenenar,0,6
fijar,querer,cuando,6
disparar,atrapar,0,2
saber,sorprender,si,6
encontrar,seguir,aunque,6
poner,arreglar,que,2
llegar,lanzar,cuando,6
medir,salir,cuando,6
saber,conocer,como,2
saber,existir,que,2
existir,hallar,puesto_que,7
existir,calcular,0,7
considerar,estar,ya_que,7
encontrar,ser,aunque,6
apreciar,permanecer,que,2
ver,seguir,aunque,6
ver,llegar,cuando,6
ver,registrar,que,2
verificar,mover,porque,6
tener_lugar,estar,si,6
tener_lugar,alejar,pues,7
ver,existir,que,2
existir,conocer,aunque,6
observar,colocar,si,6
observar,correr,que,2
encargar,encontrar,como,2
predecir,adelantar,que,7
resultar,quedar,cuando,6
verificar,predecir,tal_y_como,2
imaginar,poner,cuando,6
saber,llevar_a_cabo,que,2
ser,ser,aunque,6
permanecer,proceder,si,6
deber,utilizar,si,6
ser,producir,si,6
encontrar,demostrar,como,2
ser,permitir,ya_que,7
realizar,experimentar,si,6
querer,ser,que,3
imaginar,trabajar,que,3
saber,cumplir,si,6
hacer,tratar,ya_que,7
codificar,registrar,cuando,6
ser,admitir,si,6
afirmar,aparecer,que,7
aparecer,haber,cuando,6
mostrar,saber,como,2
hacer,aproximar,que,3
unir,mezclar,0,7
unir,formar,0,7
ser,estar,si,6
ser,haber,0,6
existir,estar,si,6
producir,ir,cuando,6
ser,estar,0,7
ser,lograr,como,2
lograr,suponer,ya_que,7
producir,formar,pues,7
ser,ser,mientras_que,3
mostrar,presentar,que,2
garantizar,ser,que,3
indicar,ser,que,7
ser,ver,como,2
ser,mantener,0,7
requerir,contener,pues,7
ser,exigir,pues,7
lograr,ver,como,3
ser,saber,como,2
ser,ser,aunque,6
presentar,comenzar,ya_que,7
alcanzar,ser,que,2
ser,actuar,como,2
suponer,ser,si_bien,6
ser,degradar,porque,6
ser,perder,porque,6
presentar,ver,como,2
demostrar,ser,que,2
ser,utilizar,si,6
ser,utilizar,como,2
conseguir,cristalizar,cuando,6
ser,estar,que,3
garantizar,producir,ya_que,7
sospechar,ser,que,2
propiciar,tomar,si,2
caracterizar,escuchar,porque,6
ser,persuadir,que,2
ser,ser,como,2
escuchar,desgañitarse,0,7
escuchar,poner_en_duda,0,7
vislumbrar,triunfar,que,3
desear,ser,porque,6
advertir,convencer,que,7
acabar,señalar,porque,6
fomentar,suponer,porque,6
fomentar,servir,0,6
entrar,ejercer,si,6
ser,estar,porque,6
necesitar,adaptar,que,3
comentar,estar,0,7
comentar,leer,0,7
moler,tener,como,2
moler,ser,0,2
quedar,abandonar,cuando,7
decir,espantar,que,7
ser,llorar,que,2
decir,haber,que,7
ser,entender,tal_como,2
ser,tener,aunque,6
referir,ver,como,2
ver,compartir,pues,2
decir,ser,que,7
explicar,cambiar,0,6
explicar,conquistar,cuando,6
explicar,producir,0,6
ser,observar,como,2
ser,apelar,puesto_que,7
querer_decir,ser,que,7
querer_decir,ser,pues,7
querer_decir,llamar,0,7
sostener,haber,porque,6
ser,proponer,como,2
escribir,estar,que,2
bastar,ser,como,2
bastar,intervenir,como,3
favorecer,resultar,como,2
querer_decir,tener,que,7
querer_decir,tener,que,2
observar,efectuar,que,2
ver,adoptar,si,6
ver,seguir,que,2
colocar,tratar,cuando,6
haber,resultar,porque,6
resultar,decir,como,2
volver,ser,puesto_que,7
volver,decir,0,7
volver,ser,0,7
trasladar,poner,como,2
trasladar,evidenciar,como,2
imputar,poner,si,6
imputar,ser,puesto_que,7
imputar,encontrar,0,7
ser,haber,puesto_que,7
decir,haber,que,7
marchar,encontrar,como,2
afirmar,haber,0,7
afirmar,estar,0,7
afirmar,caer,0,7
afirmar,hacer,0,7
abandonar,expropiar,cuando,6
escapar,poner,cuando,6
dormir,ser,ya_que,7
confesar,saber,que,7
ser,arrastrar,0,7
decidir,venir,que,3
sugerir,estar,que,3
ser,decir,como,2
hacer,entregar,mientras,3
hacer,tener,si,6
tener,hacer,porque,6
considerar,volver,que,3
venir,estar,si,6
estar,extender,porque,6
estar,ser,0,7
estar,creer,0,7
creer,conseguir,que,2
querer,saber,que,3
saber,ir,que,3
advertir,aprovisionar,que,3
asegurar,soportar,que,2
explicar,salir,que,3
gastar,ser,cuando,6
saber,conseguir,si,6
exclamar,agarrar,mientras,3
silenciar,poner_fin,que,2
silenciar,bailar,que,2
desaparecer,remediar,si,6
advertir,montar,pues,7
parecer,parecer,aunque,6
rimar,saber,aunque,6
ver,arreglar,como,3
ver,hacer,si,6
hacer,perder,que,2
saber,ser,que,2
saber,arder,que,2
desbrozar,decir,0,7
desbrozar,poner,que,7
desbrozar,ser,0,7
matizar,ser,0,7
conseguir,luchar,si,6
haber,estar,que,2
saber,haber,si,6
haber,saber,cuando,6
ayunar,haber,siempre_que,6
cagar,hacer,porque,6
sentenciar,dejar,mientras,3
discutir,volver,si,6
hacer,derrumbar,cuando,6
pensar,necesitar,que,2
ser,sobrar,ya_que,7
decir,creer,0,7
mandar,saber,porque,6
gustar,haber,porque,6
haber,ser,como,2
manifestar,participar,porque,6
comentar,estrechar,cuando,6
comentar,llamar,que,2
ser,llegar,cuando,6
llegar,salir,cuando,6
decir,disminuir,que,7
decir,notar,que,2
creer,aguantar,que,2
pensar,retocar,cuando,6
olvidar,ser,que,2
parar,encontrar,hasta_que,3
flotar,presentar,hasta_que,3
flotar,llevar,0,3
ser,ser,aunque,6
ser,compartir,0,2
creer,aplicar,que,2
creer,ser,que,2
decir,ser,que,7
creer,dar,aunque,6
considerar,ser,que,2
considerar,hacer_hincapié,que,2
tener,hacer,porque,6
decir,ser,cuando,7
ser,ser,porque,6
señalar,militar,0,7
señalar,decantar,0,7
señalar,instalar,0,7
señalar,escoger,0,7
creer,ser,que,2
ser,restar,porque,6
meter,levantar,0,7
meter,apoyar,0,7
meter,ser,0,7
comentar,ser,que,2
comentar,ver,porque,6
comentar,creer,0,7
comentar,machacar,que,3
machacar,ser,si,6
enterar,ser,cuando,6
perder,tocar,cuando,6
paralizar,cantar,hasta_que,3
decir,ser,que,7
explicar,presentar,como,2
explicar,presentar,como,2
querer,quedar,que,3
temer,votar,que,3
ser,convertir,0,7
detectar,tener,que,2
completar,permitir,si,6
recibir,pagar,para_que,3
estimar,tener,que,2
opinar,tener,que,7
decir,poder,que,7
creer,tener,que,2
especificar,ser,que,2
considerar,constar,0,7
considerar,tener,0,7
apuntar,descartar,aunque,6
estar,decir,como,2
trabajar,tener,cuando,6
saber,ser,que,2
anunciar,renunciar,que,3
cobrar,ocupar,siempre_que,6
extrañar,preferir,aunque,6
conocer,estar,cuando,6
disolver,traer,cuando,6
mantener,estar,ya_que,7
reconocer,influir,que,2
influir,afirmar,aunque,6
afirmar,llevar,que,7
notar,ser,que,2
ser,parecer,mientras,3
escribir,ser,porque,6
utilizar,querer,cuando,6
decir,desear,que,7
desear,reincorporar,que,3
pedir,colaborar,que,3
entender,tener,que,2
pensar,estar,que,2
decidir,pasar,mientras,3
decidir,saber,aunque,6
saber,ser,que,2
acabar,cumplir,si,6
tener,estar,cuando,6
ser,presionar,0,3
parecer,escribir,como,2
ignorar,ser,0,7
ignorar,ir,si,6
ir,abusar,si,6
querer_decir,deteriorar,que,7
creer,ser,que,3
sospechar,ser,que,2
pensar,surgir,porque,6
tener,llegar,cuando,6
estar,acompañar,mientras,3
hojear,preparar,mientras,3
conocer,pasar,que,2
dar,ser,que,2
haber,conocer,0,7
haber,ver,0,7
haber,ver,que,3
ver,estar,si_bien,6
malgastar,planchar,0,7
malgastar,planchar,0,7
volver,hacer,como,2
ser,ver,cuando,6
hacer,vislumbrar,que,3
aceptar,ser,tal_como,2
ser,sospechar,si,6
ser,vislumbrar,cuando,6
acompañar,conocer,cuando,6
asumir,estar,como,2
hacer,indicar,como,2
hacer,pasar,0,7
hacer,borrar,0,7
hacer,dejar,0,7
dejar,florecer,que,3
empezar,regresar,tan_pronto_como,2
sacrificar,ser,cuando,6
enredar,admitir,aunque,6
temer,confirmar,que,3
decir,dar,mientras,3
estar,estar,como,2
comunicar,destruir,que,2
salir,salir,si,6
decir,importar,0,7
ver,sacar,que,2
esperar,hacer_falta,0,7
reír,golpear,cuando,6
comprobar,perder,que,2
salir,dejar,si,6
creer,ser,que,3
creer,saber,aunque,6
ser,negar,aunque,6
morir,llegar,cuando,6
pensar,estar,que,2
decir,ser,0,7
decir,ser,cuando,6
decir,ser,0,7
ser,ser,cuando,6
suceder,ser,aunque,6
considerar,intrigar,cuando,6
envidiar,parecer,porque,6
ofender,hacer,porque,6
dormir,poder,si,6
recordar,ser,que,2
saber,existir,que,2
querer,querer,porque,6
creer,ser,que,2
saber,escribir,cuando,6
saber,vivir,que,2
acudir,ofrecer,si,6
hablar,hacer,porque,6
ser,querer,porque,6
comprender,estar,si,6
adquirir,morir,cuando,6
acudir,llamar,si,6
decir,ver,0,7
decir,ver,0,7
saber,ser,que,2
escuchar,decir,porque,6
seguir,existir,porque,6
suponer,despreciar,que,2
decir,ser,que,7
ser,ser,si,6
estar,decir,cuando,6
asegurar,ser,que,2
ser,ver,porque,6
saber,contraer,que,2
encontrar,sonar,cuando,6
imaginar,esperar,que,2
conocer,entrar,porque,6
empezar,olvidar,porque,6
deducir,ser,que,2
querer,publicar,que,3
querer,creer,porque,6
querer,llegar,que,2
sujetar,llegar,cuando,6
demostrar,ser,que,2
demostrar,encontrar,cuando,6
zarandear,parecer,0,7
zarandear,salir,0,7
ser,llegar,porque,6
decir,ver,que,7
gritar,mirar,0,7
mirar,ser,que,2
ser,dormir,mientras,3
abrir,llegar,porque,6
decir,lavar,que,7
ver,pegar,que,2
pegar,dar,si,6
obedecer,saber,aunque,6
saber,ver,porque,6
decir,echar,si,6
saber,hablar,que,2
hacer,recoger,0,7
hacer,arrojar,0,7
asomar,haber,cuando,6
decir,fijar,0,7
decir,hablar,porque,6
consultar,saber,aunque,6
ver,ser,porque,6
creer,poseer,que,2
preocupar,llover,cuando,6
preocupar,llover,cuando,6
creer,ser,que,2
necesitar,saber,si,6
saber,sacar,cuando,6
admirar,estar,aunque,6
lamentar,reventar,que,3
sonreír,alargar,0,7
sonreír,acariciar,0,7
pensar,tener,que,2
tener,hacer,que,2
alargar,sacudir,cuando,6
sentir,soldar,que,2
advertir,ser,que,7
tener,levantar,cuando,6
estar,imaginar,mientras,3
susurrar,conocer,cuando,6
estar,ser,porque,6
mostrar,hacer,cuando,6
recordar,ascender,que,2
sostener,recorrer,mientras,3
considerar,descubrir,cuando,6
tener,vivir,cuando,6
advertir,exigir,aunque,6
limpiar,marchar,cuando,6
distinguir,intentar,mientras,3
dibujar,decidir,cuando,6
explicar,prever,que,3
pedir,saber,que,3
saber,valer,porque,6
subrayar,gobernar,que,3
destacar,ganar,que,2
señalar,demostrar,que,7
demostrar,ser,que,2
anunciar,recibir,que,2
estimar,entrar,que,2
asegurar,estar,que,2
comentar,hacer,0,7
comentar,tomar,porque,6
afirmar,venir,que,7
asegurar,estar,0,7
asegurar,ser,0,7
lograr,ganar,mientras,3
decir,seguir,que,7
afirmar,ser,que,7
afirmar,descartar,aunque,6
proclamar,chocar,que,7
declarar,haber,que,7
manifestar,garantizar,que,7
declarar,conocer,que,7
decir,analizar,que,7
analizar,ser,aunque,6
decir,ser,que,7
firmar,creer,aunque,6
creer,recuperar,que,3
ser,decidir,puesto_que,7
anunciar,firmar,que,2
firmar,haber,porque,6
agregar,alcanzar,que,2
reconocer,encontrar,que,2
reanudar,aceptar,que,3
aceptar,dejar,que,3
reclamar,desoír,que,3
asegurar,tener,que,2
asegurar,ser,que,2
decir,saber,0,7
decir,vivir,que,2
decir,agradecer,0,7
decir,ser,que,7
pedir,permitir,que,3
ser,aparecer,ya_que,7
afirmar,escuchar,0,3
escuchar,hablar,0,7
escuchar,ser,0,7
asegurar,apoyar,que,2
conseguir,corear,que,3
luchar,luchar,porque,6
prometer,trabajar,que,3
comenzar,creer,porque,6
creer,ser,que,2
asegurar,apoyar,que,2
ser,aclamar,mientras,3
ser,informar,aunque,6
ser,ser,porque,6
ser,decir,0,7
ser,haber,que,7
creer,estar,que,2
pensar,seguir,que,2
ir,ser,aunque,6
admitir,llevar_a_cabo,que,7
admitir,haber,que,7
admitir,ser,que,2
ser,ser,0,7
ser,ser,0,7
mantener,utilizar,que,2
mantener,mantener,aunque,6
mantener,ser,que,2
concretar,ser,que,2
concretar,haber,que,2
negar,prestar,que,3
ser,acoger,porque,6
reconocer,tener,que,2
reconocer,restar,aunque,6
asegurar,ser,que,2
agregar,ser,que,2
preguntar,demostrar,que,2
asegurar,haber,que,2
decir,comprometer,que,7
comprometer,aceptar,si,6
comprometer,ser,porque,6
agregar,aceptar,que,2
señalar,aceptar,que,3
conocer,haber,si,6
apuntar,estar,ya_que,7
valorar,comprometer,que,3
admitir,hacer_falta,que,7
criticar,informar,que,3
decir,tener,que,7
decir,inducir,que,7
sostener,aportar,que,7
aportar,tener,porque,6
aportar,hacer_cargo,0,6
solicitar,demandar,que,3
destacar,indicar,que,2
indicar,poner,que,7
poner,desear,cuando,6
desear,demandar,que,3
basar,sufrir,ya_que,7
alegar,resultar,que,7
olvidar,enclavar,que,3
enclavar,integrar,que,3
constar,cumplir,que,3
decir,recibir,que,7
afirmar,firmar,que,2
señalar,servir,que,7
aclarar,mantener,que,3
registrar,detener,cuando,6
detener,poner,aunque,2
subrayar,ser,que,2
ser,tener_en_cuenta,si,6
anunciar,ser,que,3
creer,ser,que,2
decir,llamar,que,7
concluir,felicitar,0,7
concluir,expresar,0,7
hacer,prever,como,2
anunciar,tardar,0,6
añadir,estar,que,3
estar,durar,mientras,3
considerar,advertir,aunque,6
decir,advertir,aunque,6
advertir,estar,que,7
destacar,representar,que,2
representar,estar,ya_que,7
decir,ser,que,7
mostrar,convertir,que,2
ordenar,ser,si,6
señalar,estar,0,3
señalar,haber,0,3
afirmar,eliminar,que,7
decir,multar,0,2
multar,volar,porque,6
añadir,multar,0,2
afirmar,vigilar,que,7
asegurar,pedir,que,2
pedir,apoyar,que,3
apoyar,ser,porque,6
apoyar,ser,porque,6
haber,creer,0,7
haber,saber,0,7
saber,defender,que,3
querer,prevalecer,que,2
decir,ser,que,7
asegurar,estar,0,7
asegurar,saber,0,7
saber,tener,que,2
declarar,ser,0,7
declarar,querer,si,6
declarar,ser,0,7
costar,haber,que,7
haber,entender,0,3
ser,querer,si,6
querer,haber,que,3
mostrar,suceder,como,2
ver,dejar,como,2
subrayar,ser,0,7
demostrar,haber,que,2
reiterar,existir,que,2
existir,ser,aunque,6
ser,garantizar,aunque,6
poder,ser,porque,6
explicar,tener,que,2
explicar,comparar,que,3
comparar,desarrollar,porque,6
apuntar,ser,que,2
ser,tener,porque,6
ser,ser,0,6
indicar,rebasar,que,7
añadir,ser,que,2
destacar,tener,que,2
destacar,tener,que,2
sostener,cambiar,que,7
ser,cambiar,porque,6
ser,ser,0,7
ser,presentar,0,6
ser,responder,0,7
decir,ocultar,0,7
decir,demostrar,0,7
decir,querer_decir,0,7
querer_decir,ser,que,7
conocer,conocer,pues,7
conocer,saber,0,7
esconder,tener,porque,6
asegurar,llegar,0,7
asegurar,saber,0,7
saber,ser,que,3
ser,incrementar,porque,6
aseverar,ser,que,7
aseverar,ser,0,7
aseverar,estar,0,7
creer,tener,que,2
tener,jugar,0,7
tener,aprovechar,0,7
tener,desarrollar,que,3
considerar,presentar,que,2
creer,presentar,que,2
presentar,conseguir,porque,6
ser,ser,porque,6
decir,considerar,que,7
considerar,tener,que,2
agregar,ser,0,7
agregar,poner,0,7
asegurar,multiplicar,que,2
devolver,ejercer,porque,6
disponer,ampliar,que,2
establecer,votar,que,2
establecer,estar,que,3
aventurar,disputar,porque,6
jugar,tener,cuando,6
indicar,sorprender,que,7
analizar,ser,si,6
analizar,haber,si,6
analizar,existir,si,6
asegurar,aceptar,que,3
mantener,registrar,0,7
mantener,pronosticar,0,7
pactar,hacer,como,3
recordar,optar,que,2
recordar,recurrir,que,3
preguntar,pasar,que,3
pasar,ser,si,6
subrayar,ser,0,7
optar,reconocer,si,6
asegurar,precipitar,que,3
asegurar,esperar,que,2
pedir,pedir,aunque,6
pedir,entrar,que,3
recordar,ser,que,2
subrayar,demostrar,que,2
aventurar,disputar,porque,6
pensar,tratar,que,2
impedir,haber,porque,6
prometer,suspender,que,3
suponer,negar,pues,7
negar,despojar,que,3
ocultar,proceder,que,2
repatriar,hacer,como,2
considerar,constituir,que,2
establecer,votar,que,2
establecer,estar,que,3
asegurar,impulsar,que,2
afirmar,analizar,que,7
afirmar,recibir,0,7
afirmar,organizar,0,7
afirmar,desaparecer,0,7
agregar,existir,0,7
anunciar,abrir,que,2
afirmar,diseñar,que,2
crear,vivir,que,2
pasar,conseguir,que,3
pasar,encontrar,0,7
pasar,vivir,que,3
asegurar,vender,que,2
decir,defender,0,7
decir,defender,0,7
decir,garantizar,0,7
decir,desaparecer,0,7
decir,creer,0,7
garantizar,aplicar,que,2
creer,ser,que,2
afirmar,actuar,que,7
ser,vulnerar,si,6
creer,estar,que,2
afirmar,saber,que,7
motivar,suspender,que,3
reiterar,estar,que,2
conceder,estipular,tal_y_como,2
afirmar,reconocer,que,7
reconocer,explotar,que,2
reconocer,explotar,0,2
agregar,ser,que,2
ser,suponer,ya_que,7
suponer,tener,que,3
acusar,insistir,ya_que,7
recordar,retirar,que,2
señalar,ser,que,7
decir,servir,que,7
revelar,conseguir,que,7
avanzar,reunir,0,7
avanzar,tener,0,7
señalar,hacer,que,7
destacar,sostener,que,2
destacar,declarar,que,2
declarar,considerar,porque,6
considerar,dar,que,3
indicar,ser,0,7
indicar,plantear,0,7
señalar,servir,que,7
considerar,ser,que,2
reconocer,resultar,que,2
resultar,salir,porque,6
salir,lograr,si,6
considerar,avisar,aunque,6
concluir,ver,como,2
resaltar,deber,que,2
hacer,superar,que,3
parecer,proponer,a_pesar_de_que,2
ser,tener_en_cuenta,si,6
tener_en_cuenta,prometer,que,2
prometer,recortar,que,3
prometer,asumir,si,6
argumentar,evitar,que,7
evitar,impedir,puesto_que,7
impedir,controlar,que,3
controlar,ocurrir,como,2
controlar,intentar,como,2
votar,finalizar,pues,7
asegurar,carecer,que,2
reiterar,convenir,que,2
precisar,apoyar,que,2
criticar,prever,que,3
creer,vincular,que,2
sostener,resolver,que,7
cuestionar,afirmar,pues,7
ingresar,ser,si,6
ingresar,ser,porque,6
defender,incluir,que,3
defender,lindar,porque,6
explicar,lograr,que,2
explicar,abonar,0,3
operar,haber,aunque,6
pedir,intervenir,que,3
investigar,proceder,si,6
recordar,dirigir,que,2
decir,recibir,que,7
pagar,exigir,mientras,3
exigir,pagar,que,3
asegurar,encontrar,que,2
afirmar,ser,que,7
lamentar,explotar,que,3
explotar,tener,cuando,6
alcanzar,proponer,tal_y_como,2
sugerir,impulsar,que,3
afirmar,dar,0,7
señalar,ser,que,7
ser,existir,cuando,6
ser,mantener,porque,6
ser,compartir,0,6
precisar,multiplicar,que,2
llevar_a_cabo,influir,aunque,6
concluir,reducir,0,7
concluir,obligar,0,7
concluir,conducir,0,7
concluir,tener,porque,6
ratificar,mostrar,mientras,3
impedir,existir,que,3
destacar,consolidar,que,2
decir,interesar,0,3
decir,gustar,porque,6
decir,estar,0,3
calcular,haber,que,2
decir,esperar,0,7
decir,hacer,0,7
hacer,mover,que,3
ser,perjudicar,si,6
afectar,competir,porque,6
decir,tener,que,3
tener,hacer,como,2
mostrar,tener,ya_que,7
anunciar,revisar,que,3
informar,tomar,0,2
asegurar,investigar,que,2
haber,ser,porque,6
alertar,anunciar,0,7
sancionar,limitar,aunque,6
denunciar,alcanzar,que,2
denunciar,depredar,que,2
suponer,demostrar,como,2
señalar,ser,que,7
ser,faenar,que,3
faenar,estar,pues,7
faenar,tener,0,7
integrar,disputar,porque,6
hablar,querer,aunque,6
añadir,encajar,0,7
ser,perder,0,7
ser,sumar,0,7
perseguir,enfrentar,cuando,6
guardar,expulsar,ya_que,2
pedir,adherir,que,3
explicar,destinar,que,2
afirmar,tener,0,7
afirmar,acompañar,si,6
señalar,morir,0,7
señalar,resultar,0,7
agregar,matar,0,7
agregar,herir,0,7
indicar,poseer,que,7
anunciar,apoyar,que,3
apoyar,encontrar,siempre_que,6
fabricar,prohibir,aunque,6
pedir,exigir,que,3
afirmar,invitar,que,7
indicar,detener,que,7
arrestar,considerar,porque,2
indicar,transportar,que,7
transportar,tomar,cuando,6
transportar,voltear,0,6
declarar,apreciar,que,7
apreciar,venir,aunque,6
mencionar,procesar,que,7
comunicar,anunciar,que,3
confirmar,ser,que,2
confirmar,entrar,aunque,6
señalar,aprobar,0,7
señalar,hacer,0,7
participar,tener,porque,6
considerar,cumplir,que,2
emitir,extraditar,aunque,2
extraditar,cumplir,cuando,6
tratar,hacer,que,3
considerar,suponer,que,2
comentar,desplegar,que,3
comentar,costar,aunque,6
aseverar,ser,0,7
aseverar,saber,0,7
saber,ser,si,6
impedir,capturar,que,3
reconocer,radicar,que,3
consistir,disponer,si_bien,6
haber,registrar,aunque,6
advertir,alargar,que,7
alargar,atender,si,6
subrayar,haber,que,2
destacar,haber,que,2
decir,ser,que,7
empezar,moderar,aunque,6
condenar,aliar,que,3
recalcar,contemplar,que,7
opinar,ser,que,7
recordar,adoptar,que,2
afirmar,ser,que,7
ser,entender,pues,7
ser,mantener,que,3
ser,ser,porque,6
asegurar,tener,que,2
asegurar,satisfacer,que,2
explicar,lanzar,que,2
lanzar,pensar,porque,6
pensar,participar,que,2
explicar,ver,que,2
pedir,intentar,que,3
intentar,ser,si,6
reparar,salir,si,6
ser,ser,si,6
continuar,ganar,si,6
continuar,decir,0,7
continuar,cansar,0,7
asegurar,trasladar,que,3
encontrar,existir,0,7
añadir,coincidir,0,7
añadir,ser,0,7
pedir,hacer,que,3
sentir,denunciar,porque,6
pedir,acusar,que,3
pedir,recibir,porque,6
pedir,hacer,0,6
destacar,decir,que,2
decir,tener,que,7
añadir,difundir,que,2
difundir,gustar,porque,6
gustar,ser,0,7
gustar,cesar,0,3
gustar,ser,0,7
gustar,ser,0,7
afirmar,tratar,que,7
demostrar,disparar,aunque,6
explicar,provocar,que,2
provocar,pasar,que,3
apuntar,escalar,0,7
apuntar,ser,0,7
señalar,perder,que,7
explicar,ser,0,7
explicar,perder,0,7
explicar,estar,0,7
explicar,intentar,0,7
terminar,anular,porque,6
ser,basar,aunque,6
llegar,llevar,0,7
llegar,anotar,0,7
dar,estar,aunque,6
lanzar,enrocar,cuando,6
intentar,mantener,mientras,3
ser,ser,aunque,6
caer,poner,aunque,6
reaccionar,superar,aunque,6
mostrar,quedar,que,2
indicar,opinar,que,7
indicar,ganar,que,7
señalar,haber,que,7
ser,querer,si,6
tener,querer,si,6
recordar,aumentar,que,2
aumentar,encargar,mientras,3
aumentar,ser,mientras,3
obtener,señalar,cuando,6
señalar,beneficiar,que,7
ser,tener,0,7
ser,haber,que,2
ser,convencer,0,7
entender,ser,que,2
decir,ver,que,7
asegurar,apoyar,que,2
afirmar,decir,que,7
decir,ser,0,7
destacar,hundir,que,2
destacar,aumentar,que,3
añadir,apreciar,que,2
recoger,reabrir,que,2
recoger,explorar,que,2
señalar,afrontar,que,7
añadir,merecer,que,2
destacar,caer,que,2
ser,ser,porque,6
ser,gestionar,si,6
hacer,hacer,como,2
hacer,ser,porque,6
dar,eliminar,porque,2
dar,estar,aunque,6
dar,asegurar,0,6
asegurar,ser,que,2
parecer,jugar,si,6
destacar,apelar,que,2
demostrar,ser,que,2
asegurar,estar,que,2
ver,ser,si,6
elogiar,ser,porque,6
señalar,jugar,que,7
ser,generar,porque,6
ser,reiterar,aunque,6
reiterar,tener,que,2
mantener,hacer,que,3
hacer,hacer,ya_que,7
hacer,ser,si,6
ser,incidir,aunque,6
acertar,ganar,porque,6
ganar,hacer,si,6
anunciar,vender,0,7
anunciar,mantener,0,7
precisar,vender,que,3
decir,existir,que,7
decir,estar,que,2
afirmar,concentrar,que,7
afirmar,producir,que,3
recordar,generar,que,2
avanzar,reestructurar,que,2
avanzar,recurrir,que,3
señalar,comprender,0,7
señalar,tomar,0,7
señalar,llegar,0,7
explicar,ser,que,2
perfilar,admitir,aunque,6
admitir,haber,que,7
explicar,deber,que,2
confirmar,permanecer,que,3
permanecer,precisar,aunque,6
anunciar,vender,que,3
anunciar,producir,que,3
puntualizar,ocupar,que,3
asegurar,estar,que,2
asegurar,preferir,que,2
preferir,ser,porque,6
esperar,quedar,que,3
quedar,pasar,si,6
creer,venir,que,2
venir,jugar,porque,6
venir,llegar,0,6
ser,tocar,si,6
ir,ser,pues,7
negar,ser,que,3
considerar,ser,que,2
advertir,pasar,0,7
advertir,tocar,si,6
advertir,ser,porque,6
advertir,salir,que,3
creer,ganar,que,3
ganar,querer,si,6
asegurar,quedar,0,7
asegurar,hacer,0,7
comentar,defender,que,2
comentar,resolver,que,2
indicar,enfrentar,que,7
permitir,detener,que,3
haber,considerar,0,3
explicar,concluir,que,2
señalar,demostrar,que,7
informar,cumplir,que,2
admitir,ser,que,7
ser,acudir,si,6
ser,contar,porque,6
estar,concluir,mientras,3
reconocer,matar,0,7
reconocer,matar,0,7
recordar,entregar,que,2
calcular,haber,que,2
anunciar,trabajar,que,3
permitir,imponer,aunque,6
permitir,invertir,que,3
permitir,estar,siempre_que,6
permitir,tener,que,3
introducir,constituir,porque,6
constituir,resaltar,como,2
señalar,formar_parte,como,2
indicar,probar,que,7
cubrir,funcionar,mientras,3
usar,hacer,como,2
añadir,hacer,que,3
estar,ocurrir,tal_como,2
requerir,actuar,que,3
explicar,ser,que,3
ser,ser,pues,7
indicar,diseñar,0,7
indicar,ser,0,7
indicar,ser,0,7
indicar,ser,ya_que,7
indicar,ser,0,7
señalar,demostrar,que,7
sostener,acabar,que,7
apuntar,terminar,que,2
afirmar,subir,que,7
afirmar,colocar,como,2
señalar,duplicar,que,7
creer,conseguir,que,3
indicar,lograr,que,7
creer,ser,que,2
decir,intentar,que,7
añadir,decir,0,7
añadir,hacer,cuando,6
añadir,parecer,0,7
incluir,reconocer,aunque,6
reconocer,ser,que,2
anunciar,publicar,que,3
confirmar,conseguir,0,7
confirmar,ocultar,0,7
ocurrir,utilizar,aunque,2
descubrir,revisar,cuando,6
revisar,detectar,porque,6
detectar,ocupar,que,2
decir,conducir,que,7
añadir,estar,que,2
añadir,registrar,que,2
agregar,tener,que,2
pensar,resultar,que,2
constatar,haber,aunque,6
considerar,ser,que,2
considerar,apuntar,0,3
anunciar,fijar,que,3
denunciar,costar,que,2
contrastar,emprender,pues,7
significar,rendir,cuando,6
significar,despertar,0,6
puntualizar,eliminar,que,2
ser,presentar,pues,2
informar,despojar,0,2
señalar,cumplir,que,7
aseverar,quedar,0,7
aseverar,confirmar,0,7
confirmar,disputar,que,3
tener,enfrentar,cuando,6
cotizar,subir,cuando,6
señalar,deber,que,7
preocupar,realizar,ya_que,7
